Ticker,Name,Company,Market Cap,PE Ratio,Dividend Yield,Average Volume,Closing Price,Industry,Sector,Year Growth (%),Month Growth (%),Date,Platform
ACIW,"ACI Worldwide, Inc.","ACI Worldwide, Inc."," 5,507,721,216 ",24.886257,," 653,348 ",52.54,Software - Infrastructure,Technology,64.92,-1.81,2/14/25,NASDAQ
ACB,Aurora Cannabis Inc.,Aurora Cannabis Inc.," 346,318,656 ",33.210526,," 2,591,383 ",6.62,Drug Manufacturers - Specialty & Generic,Healthcare,61.79,58.94,2/14/25,NASDAQ
AAPU,Direxion Daily AAPL Bull 2X Shares,Direxion Daily AAPL Bull 2X Sha,,39.94718,," 1,082,361 ",34.27,N/A,N/A,59.68,3.91,2/14/25,NASDAQ
AAPB,GraniteShares 2x Long AAPL Daily ETF,GraniteShares 2x Long AAPL Dail,,,," 154,985 ",30.85,N/A,N/A,53.32,4.25,2/14/25,NASDAQ
ACHL,Achilles Therapeutics plc,Achilles Therapeutics plc," 58,948,632 ",,," 690,520 ",1.39,Biotechnology,Healthcare,43.75,18.97,2/14/25,NASDAQ
AADR,AdvisorShares Dorsey Wright ADR ETF,AdvisorShares Dorsey Wright,,17.635271,," 3,395 ",76.6691,N/A,N/A,36.71,6.92,2/14/25,NASDAQ
AADI,"Aadi Bioscience, Inc.","Aadi Bioscience, Inc."," 63,964,192 ",,," 366,341 ",2.61,Biotechnology,Healthcare,36.32,-20.06,2/14/25,NASDAQ
AAON,"AAON, Inc.","AAON, Inc."," 9,197,599,744 ",49.63158,0.0028," 572,191 ",112.86,Building Products & Equipment,Industrials,34.24,-12.92,2/14/25,NASDAQ
AAPL,Apple Inc.,Apple Inc.," 3,674,405,863,424 ",38.825397,0.0041," 50,559,971 ",241.53,Consumer Electronics,Technology,33.66,2.94,2/14/25,NASDAQ
ABLLL,"Abacus Life, Inc. 9.875% Fixed Rate Senior Notes due 2028","Abacus Life, Inc. - 9.875% Fixe",,,," 23,340 ",26.6,N/A,N/A,17.66,1.36,2/14/25,NASDAQ
AAXJ,iShares MSCI All Country Asia ex Japan ETF,iShares MSCI All Country Asia e,,15.656952,," 557,240 ",74.75,N/A,N/A,16.87,5.79,2/14/25,NASDAQ
ABCS,Alpha Blue Capital US Small-Mid Cap Dynamic ETF,Alpha Blue Capital US Small-Mid,,15.096518,," 2,183 ",29.2819,N/A,N/A,16.06,0.66,2/14/25,NASDAQ
AAOI,"Applied Optoelectronics, Inc.","Applied Optoelectronics, Inc."," 1,279,273,472 ",,," 3,406,188 ",27.04,Communication Equipment,Technology,15.57,-16.93,2/14/25,NASDAQ
ABUS,Arbutus Biopharma Corporation,Arbutus Biopharma Corporation," 623,428,672 ",,," 802,266 ",3.3,Biotechnology,Healthcare,13.06,0.3,2/14/25,NASDAQ
ABSI,Absci Corporation,Absci Corporation," 668,461,952 ",,," 4,530,283 ",5,Biotechnology,Healthcare,13.01,103.5,2/14/25,NASDAQ
AAVM,EA Series Trust - Alpha Architect Global Factor Equity ETF,Alpha Architect Global Factor E,,,," 2,253 ",26.0499,N/A,N/A,9.78,0.96,2/14/25,NASDAQ
ACDC,ProFrac Holding Corp.,ProFrac Holding Corp.," 1,269,965,696 ",,," 440,370 ",7.75,Oil & Gas Equipment & Services,Energy,8.04,-11.59,2/14/25,NASDAQ
AAL,American Airlines Group Inc.,"American Airlines Group, Inc."," 10,501,329,920 ",12.879032,," 28,121,735 ",15.74,Airlines,Industrials,7.18,-11.62,2/14/25,NASDAQ
ACGL,Arch Capital Group Ltd.,Arch Capital Group Ltd.," 33,198,479,360 ",7.8820376,," 1,914,746 ",90.16,Insurance - Diversified,Financial Services,6.13,-5.79,2/14/25,NASDAQ
AAPG,N/A,Ascentage Pharma Group Internat," 6,352,390,144 ",,," 303,833 ",17.26,Biotechnology,Healthcare,4.95,4.95,2/14/25,NASDAQ
ABNB,"Airbnb, Inc.","Airbnb, Inc."," 100,850,688,000 ",39.37073,," 4,434,995 ",141.04,Travel Services,Consumer Cyclical,2.37,21.81,2/14/25,NASDAQ
